id;name;description;price;catalog_url;category_id;picture_url
1;Ноутбук Dell Inspiron 15 7577;;56202;…;2;http://magazilla.ru/jpg_zoom1/1267571.jpg
2;Ноутбук Lenovo Ideapad 320 15;;19322;…;2;http://magazilla.ru/jpg_zoom1/1216264.jpg
3;Ноутбук Lenovo Legion Y520;;6226;…;2;http://magazilla.ru/jpg_zoom1/1079256.jpg
4;Ноутбук Xiaomi Notebook Pro 15.6;;63239;…;2;http://magazilla.ru/jpg_zoom1/1290916.jpg
5;Ноутбук Asus VivoBook Pro 15 N580VD;;51689;…;2;http://magazilla.ru/jpg_zoom1/1302964.jpg
6;Сумка для ноутбуков HP Value Top Load Case ;;1551;…;3;http://magazilla.ru/jpg/160505.jpg
7;Сумка для ноутбуков Hama Tortuga ;;493;…;3;http://magazilla.ru/jpg_zoom1/845591.jpg
8;Сумка для ноутбуков RIVACASE Orly Bag ;;1648;…;3;http://magazilla.ru/jpg_zoom1/1187129.jpg
9;Сумка для ноутбуков Sumdex Classic Notebrief ;;1683;…;3;http://magazilla.ru/jpg_zoom1/137953.jpg
10;Сумка для ноутбуков HP Chroma Sleeve ;;737;…;3;http://magazilla.ru/jpg_zoom1/931893.jpg
11;Powerbank аккумулятор Xiaomi Mi Power Bank 20000;Вес (г): 338, Размеры (мм): 141.9x73x21.8, Материал корпуса: пластик, Функции: зарядка ноутбуков, Комплектные провода (адаптеры): microUSB, Быстрая зарядка, Ток заряда 1-го USB порта: 3.6, Тип аккумуляторов: Li-Ion, Емкость (мАч): 20000 ;1815;…;4;http://magazilla.ru/jpg_zoom1/700928.jpg
12;Powerbank аккумулятор Xiaomi Mi Power Bank 2 10000;Вес (г): 217, Размеры (мм): 130x71x14, Функции: Материал корпуса: алюминий, Комплектные провода (адаптеры): microUSB, Ток заряда 1-го USB порта: 2.4, Тип аккумуляторов: Li-Pol, Емкость (мАч): 10000 ;1045;…;4;http://magazilla.ru/jpg_zoom1/1088756.jpg
13;Powerbank аккумулятор Xiaomi Mi Power Bank 5000;Вес (г): 156, Размеры (мм): 125x69x9.9, Функции: Материал корпуса: алюминий, Комплектные провода (адаптеры): microUSB, Ток заряда 1-го USB порта: 2.1, Тип аккумуляторов: Li-Ion, Емкость (мАч): 5000 ;715;…;4;http://magazilla.ru/jpg_zoom1/498390.jpg
14;Powerbank аккумулятор Xiaomi Mi Power Bank 10000;Вес (г): 207, Размеры (мм): 90x60.4x22, Функции: Материал корпуса: алюминий, Комплектные провода (адаптеры): microUSB, Ток заряда 1-го USB порта: 2.1, Тип аккумуляторов: Li-Ion, Емкость (мАч): 10000 ;1527;…;4;http://magazilla.ru/jpg_zoom1/599764.jpg
15;Powerbank аккумулятор Xiaomi Mi Power Bank Pro 10000;Вес (г): 223, Размеры (мм): 128.6x75x12.6, Функции: Материал корпуса: алюминий, USB type C, Комплектные провода (адаптеры): microUSB, Быстрая зарядка, Ток заряда 1-го USB порта: 2, Тип аккумуляторов: Li-Pol, Емкость (мАч): 10000 ;1639;…;4;http://magazilla.ru/jpg_zoom1/868555.jpg
16;Подставка для ноутбука Deepcool WIND PAL;"Вес (кг): 0.79, Размер столешницы/платформы (мм): 382x262, Питание: от USB, Уровень шума (дБ): 27, USB входов: 3, фиксаторы ноутбука, USB-хаб, регулировка наклона, Диаметр вентилятора (мм): 140, Кол. вентиляторов (шт): 2, Активное охлаждение, Макс. диагональ ноутбука (""): 17, Тип: подставка";1089;…;5;http://magazilla.ru/jpg_zoom1/417594.jpg
17;Подставка для ноутбука Deepcool U-Pal;"Вес (кг): 0.76, Размер столешницы/платформы (мм): 390x280, Питание: от USB, Уровень шума (дБ): 26, USB входов: 1, фиксаторы ноутбука, USB-хаб, регулировка наклона, Диаметр вентилятора (мм): 140, Кол. вентиляторов (шт): 2, Активное охлаждение, Макс. диагональ ноутбука (""): 15.6, Тип: подставка";804;…;5;http://magazilla.ru/jpg_zoom1/467730.jpg
18;Подставка для ноутбука Trust Cooling Stand GXT 220;"Питание: от USB, подсветка корпуса, фиксаторы ноутбука, Диаметр вентилятора (мм): 170, Кол. вентиляторов (шт): 1, Активное охлаждение, Макс. диагональ ноутбука (""): 17.3, Тип: подставка";1021;…;5;http://magazilla.ru/jpg_zoom1/489174.jpg
19;Подставка для ноутбука Zalman ZM-NS2000;"Вес (кг): 1.1, Размер столешницы/платформы (мм): 377x283, Питание: от USB, Уровень шума (дБ): 20, USB входов: 3, фиксаторы ноутбука, USB-хаб, регулировка наклона, Диаметр вентилятора (мм): 200, Кол. вентиляторов (шт): 1, Активное охлаждение, Макс. диагональ ноутбука (""): 17, Тип: подставка";1805;…;5;http://magazilla.ru/jpg_zoom1/419174.jpg
